Dưới đây là **200 từ vựng tiếng Anh về trái cây** kèm **phiên âm IPA** và nghĩa tiếng Việt:

| STT | Từ vựng       | Phiên âm         | Nghĩa         |
| --: | ------------- | ---------------- | ------------- |
|   1 | Apple         | /ˈæp.əl/         | Táo           |
|   2 | Banana        | /bəˈnæn.ə/       | Chuối         |
|   3 | Orange        | /ˈɒr.ɪndʒ/       | Cam           |
|   4 | Mandarin      | /ˈmæn.dər.ɪn/    | Quýt          |
|   5 | Tangerine     | /ˌtæn.dʒəˈriːn/  | Quýt đường    |
|   6 | Lemon         | /ˈlem.ən/        | Chanh vàng    |
|   7 | Lime          | /laɪm/           | Chanh xanh    |
|   8 | Grapefruit    | /ˈɡreɪp.fruːt/   | Bưởi chùm     |
|   9 | Pomelo        | /ˈpɒm.ɪ.ləʊ/     | Bưởi          |
|  10 | Mango         | /ˈmæŋ.ɡəʊ/       | Xoài          |
|  11 | Pineapple     | /ˈpaɪnˌæp.əl/    | Dứa, thơm     |
|  12 | Watermelon    | /ˈwɔː.təˌmel.ən/ | Dưa hấu       |
|  13 | Melon         | /ˈmel.ən/        | Dưa           |
|  14 | Cantaloupe    | /ˈkæn.tə.luːp/   | Dưa lưới      |
|  15 | Honeydew      | /ˈhʌn.i.djuː/    | Dưa mật       |
|  16 | Papaya        | /pəˈpaɪ.ə/       | Đu đủ         |
|  17 | Guava         | /ˈɡwɑː.və/       | Ổi            |
|  18 | Dragon fruit  | /ˈdræɡ.ən fruːt/ | Thanh long    |
|  19 | Star fruit    | /ˈstɑː fruːt/    | Khế           |
|  20 | Passion fruit | /ˈpæʃ.ən fruːt/  | Chanh dây     |
|  21 | Lychee        | /ˈlaɪ.tʃiː/      | Vải           |
|  22 | Longan        | /ˈlɒŋ.ɡən/       | Nhãn          |
|  23 | Rambutan      | /ræmˈbuː.tən/    | Chôm chôm     |
|  24 | Durian        | /ˈdʊə.ri.ən/     | Sầu riêng     |
|  25 | Jackfruit     | /ˈdʒæk.fruːt/    | Mít           |
|  26 | Coconut       | /ˈkəʊ.kə.nʌt/    | Dừa           |
|  27 | Avocado       | /ˌæv.əˈkɑː.dəʊ/  | Bơ            |
|  28 | Peach         | /piːtʃ/          | Đào           |
|  29 | Apricot       | /ˈeɪ.prɪ.kɒt/    | Mơ            |
|  30 | Plum          | /plʌm/           | Mận           |
|  31 | Cherry        | /ˈtʃer.i/        | Anh đào       |
|  32 | Grape         | /ɡreɪp/          | Nho           |
|  33 | Raisin        | /ˈreɪ.zən/       | Nho khô       |
|  34 | Fig           | /fɪɡ/            | Quả sung      |
|  35 | Date          | /deɪt/           | Chà là        |
|  36 | Pomegranate   | /ˈpɒm.ɪˌɡræn.ɪt/ | Lựu           |
|  37 | Pear          | /peər/           | Lê            |
|  38 | Kiwi          | /ˈkiː.wiː/       | Kiwi          |
|  39 | Strawberry    | /ˈstrɔː.bər.i/   | Dâu tây       |
|  40 | Blueberry     | /ˈbluːˌber.i/    | Việt quất     |
|  41 | Raspberry     | /ˈrɑːzˌber.i/    | Mâm xôi đỏ    |
|  42 | Blackberry    | /ˈblækˌber.i/    | Mâm xôi đen   |
|  43 | Cranberry     | /ˈkrænˌber.i/    | Nam việt quất |
|  44 | Mulberry      | /ˈmʌlˌber.i/     | Dâu tằm       |
|  45 | Gooseberry    | /ˈɡʊzˌber.i/     | Lý gai        |
|  46 | Blackcurrant  | /ˌblækˈkʌr.ənt/  | Lý chua đen   |
|  47 | Redcurrant    | /ˌredˈkʌr.ənt/   | Lý chua đỏ    |
|  48 | Elderberry    | /ˈel.dəˌber.i/   | Cơm cháy      |
|  49 | Boysenberry   | /ˈbɔɪ.zənˌber.i/ | Dâu boysen    |
|  50 | Loganberry    | /ˈləʊ.ɡənˌber.i/ | Dâu logan     |

| STT | Từ vựng         | Phiên âm              | Nghĩa              |
| --: | --------------- | --------------------- | ------------------ |
|  51 | Persimmon       | /pəˈsɪm.ən/           | Hồng               |
|  52 | Sapodilla       | /ˌsæp.əˈdɪl.ə/        | Hồng xiêm, sapoche |
|  53 | Custard apple   | /ˈkʌs.təd ˌæp.əl/     | Na                 |
|  54 | Sugar apple     | /ˈʃʊɡ.ər ˌæp.əl/      | Mãng cầu ta        |
|  55 | Soursop         | /ˈsaʊə.sɒp/           | Mãng cầu xiêm      |
|  56 | Cherimoya       | /ˌtʃer.ɪˈmɔɪ.ə/       | Mãng cầu tây       |
|  57 | Breadfruit      | /ˈbred.fruːt/         | Sa kê              |
|  58 | Mangosteen      | /ˈmæŋ.ɡə.stiːn/       | Măng cụt           |
|  59 | Langsat         | /ˈlɑːŋ.sɑːt/          | Bòn bon            |
|  60 | Loquat          | /ˈləʊ.kwɒt/           | Sơn trà Nhật       |
|  61 | Jujube          | /ˈdʒuː.dʒuːb/         | Táo tàu            |
|  62 | Kumquat         | /ˈkʌm.kwɒt/           | Quất, tắc          |
|  63 | Calamansi       | /ˌkæl.əˈmæn.si/       | Tắc, quất chua     |
|  64 | Buddha’s hand   | /ˈbʊd.əz hænd/        | Phật thủ           |
|  65 | Citron          | /ˈsɪt.rən/            | Thanh yên          |
|  66 | Yuzu            | /ˈjuː.zuː/            | Quả yuzu           |
|  67 | Ugli fruit      | /ˈʌɡ.li fruːt/        | Quả ugli           |
|  68 | Clementine      | /ˈklem.ən.taɪn/       | Quýt clementine    |
|  69 | Blood orange    | /ˈblʌd ˌɒr.ɪndʒ/      | Cam đỏ             |
|  70 | Navel orange    | /ˈneɪ.vəl ˌɒr.ɪndʒ/   | Cam rốn            |
|  71 | Seville orange  | /səˈvɪl ˌɒr.ɪndʒ/     | Cam đắng           |
|  72 | Bergamot        | /ˈbɜː.ɡə.mɒt/         | Cam bergamot       |
|  73 | Quince          | /kwɪns/               | Mộc qua            |
|  74 | Medlar          | /ˈmed.lər/            | Sơn tra            |
|  75 | Crab apple      | /ˈkræb ˌæp.əl/        | Táo dại            |
|  76 | Rose apple      | /ˈrəʊz ˌæp.əl/        | Roi, mận miền Nam  |
|  77 | Wax apple       | /ˈwæks ˌæp.əl/        | Roi đỏ             |
|  78 | Malay apple     | /məˈleɪ ˌæp.əl/       | Điều đỏ            |
|  79 | Java apple      | /ˈdʒɑː.və ˌæp.əl/     | Roi Java           |
|  80 | Wood apple      | /ˈwʊd ˌæp.əl/         | Táo gỗ             |
|  81 | Bael fruit      | /beɪl fruːt/          | Trái bael          |
|  82 | Tamarind        | /ˈtæm.ər.ɪnd/         | Me                 |
